,Image,Train Accuracy
0,M1_02_0_0,0.9446029663085938
1,M1_02_0_1,0.9444389343261719
2,M1_02_0_2,0.9446182250976562
3,M1_02_0_3,0.9445991516113281
4,M1_02_0_4,0.9446296691894531
5,M1_02_0_5,0.9501914978027344
6,M1_02_0_6,0.9487876892089844
7,M1_02_1_0,0.9348716735839844
8,M1_02_1_1,0.9348564147949219
9,M1_02_1_2,0.9348373413085938
10,M1_02_1_3,0.9348678588867188
11,M1_02_1_4,0.9350738525390625
12,M1_02_1_5,0.9244918823242188
13,M1_02_1_6,0.9361763000488281
14,M1_02_2_0,0.940277099609375
15,M1_02_2_1,0.9400787353515625
16,M1_02_2_2,0.9402008056640625
17,M1_02_2_3,0.9402809143066406
18,M1_02_2_4,0.9469375610351562
19,M1_02_2_5,0.96099853515625
20,M1_02_2_6,0.9628524780273438
21,M1_02_3_0,1.0
22,M1_02_3_1,1.0
23,M1_02_3_2,0.9884719848632812
24,M1_02_3_3,1.0
25,M1_02_3_4,1.0
26,M1_02_3_5,0.9999961853027344
27,M1_02_3_6,1.0
28,M1_03_0_0,0.9504623413085938
29,M1_03_0_1,0.9503707885742188
30,M1_03_0_2,0.9440155029296875
31,M1_03_0_3,0.9504737854003906
32,M1_03_0_4,0.9329109191894531
33,M1_03_0_5,0.9446182250976562
34,M1_03_0_6,0.9454727172851562
35,M1_03_1_0,0.9011192321777344
36,M1_03_1_1,0.9008026123046875
37,M1_03_1_2,0.9010543823242188
38,M1_03_1_3,0.9010581970214844
39,M1_03_1_4,0.8975410461425781
40,M1_03_1_5,0.8798141479492188
41,M1_03_1_6,0.8989830017089844
42,M1_03_2_0,0.9411430358886719
43,M1_03_2_1,0.9415206909179688
44,M1_03_2_2,0.9410896301269531
45,M1_03_2_3,0.9411964416503906
46,M1_03_2_4,0.9278335571289062
47,M1_03_2_5,0.9193840026855469
48,M1_03_2_6,0.9387435913085938
49,M1_03_3_0,0.9438743591308594
50,M1_03_3_1,0.9428215026855469
51,M1_03_3_2,0.9439506530761719
52,M1_03_3_3,0.9438896179199219
53,M1_03_3_4,0.9382972717285156
54,M1_03_3_5,0.9402351379394531
55,M1_03_3_6,0.9517288208007812
56,M1_04_0_0,0.9401893615722656
57,M1_04_0_1,0.9402389526367188
58,M1_04_0_2,0.9402046203613281
59,M1_04_0_3,0.9401473999023438
60,M1_04_0_4,0.9567031860351562
61,M1_04_0_5,0.9531745910644531
62,M1_04_0_6,0.9426345825195312
63,M1_04_1_0,0.9495506286621094
64,M1_04_1_1,0.9560089111328125
65,M1_04_1_2,0.9493522644042969
66,M1_04_1_3,0.9493827819824219
67,M1_04_1_4,0.9899253845214844
68,M1_04_1_5,0.9899177551269531
69,M1_04_1_6,0.98992919921875
70,M1_04_2_0,0.9275321960449219
71,M1_04_2_1,0.9270858764648438
72,M1_04_2_2,0.9271087646484375
73,M1_04_2_3,0.9275360107421875
74,M1_04_2_4,0.9285316467285156
75,M1_04_2_5,0.9304885864257812
76,M1_04_2_6,0.9284782409667969
77,M1_04_3_0,0.9416122436523438
78,M1_04_3_1,0.941558837890625
79,M1_04_3_2,0.9409637451171875
80,M1_04_3_3,0.9416389465332031
81,M1_04_3_4,0.9520149230957031
82,M1_04_3_5,0.9644203186035156
83,M1_04_3_6,0.9563713073730469
84,M1_06_0_0,0.9280319213867188
85,M1_06_0_1,0.9276542663574219
86,M1_06_0_2,0.9281005859375
87,M1_06_0_3,0.9280586242675781
88,M1_06_0_4,0.9173698425292969
89,M1_06_0_5,0.9256629943847656
90,M1_06_0_6,0.9210548400878906
91,M1_06_1_0,0.9055099487304688
92,M1_06_1_1,0.9054603576660156
93,M1_06_1_2,0.9054794311523438
94,M1_06_1_3,0.9055213928222656
95,M1_06_1_4,0.8925895690917969
96,M1_06_1_5,0.8955192565917969
97,M1_06_1_6,0.9048919677734375
