epoch,accuracy,dice_coef,iou,loss,lr,precision,recall,val_accuracy,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.9735137820243835,0.8388753533363342,0.7419885396957397,0.16112497448921204,1e-04,0.8094747066497803,0.9210726022720337,0.9268274307250977,0.0021505176555365324,0.0010764304315671325,0.9978494644165039,0.0,0.0
1,0.9870799779891968,0.9192039370536804,0.8555755019187927,0.08079641312360764,1e-04,0.9268637895584106,0.9396148324012756,0.9726080298423767,0.7138586044311523,0.6061400771141052,0.28614139556884766,0.9494734406471252,0.672842264175415
2,0.9886900186538696,0.9349251389503479,0.8812252879142761,0.06507467478513718,1e-04,0.9397857189178467,0.9453797340393066,0.9863417744636536,0.9188166260719299,0.8544668555259705,0.08118332922458649,0.9159253239631653,0.9093278646469116
3,0.9897476434707642,0.9424947500228882,0.8943888545036316,0.057504866272211075,1e-04,0.9469708204269409,0.9509066343307495,0.9881954193115234,0.9276624321937561,0.8700794577598572,0.07233743369579315,0.9196770191192627,0.9400797486305237
4,0.9906775951385498,0.9499372839927673,0.9070466160774231,0.0500623844563961,1e-04,0.9549380540847778,0.9538735151290894,0.9891250729560852,0.937713623046875,0.8874704241752625,0.06228639557957649,0.9205225110054016,0.955130934715271
5,0.9911929368972778,0.954160749912262,0.9143506288528442,0.045839011669158936,1e-04,0.9576993584632874,0.9573776125907898,0.9886283874511719,0.9347741007804871,0.8827416896820068,0.06522586941719055,0.9122250080108643,0.9601683020591736
6,0.9917266964912415,0.9574218988418579,0.9201661944389343,0.042578138411045074,1e-04,0.9629131555557251,0.9584224820137024,0.9829471111297607,0.8921334147453308,0.8114922642707825,0.10786660760641098,0.9282334446907043,0.8434948921203613
7,0.9916334748268127,0.9575731754302979,0.920120120048523,0.04242696240544319,1e-04,0.9625177383422852,0.9577065110206604,0.9902834296226501,0.941495954990387,0.8934523463249207,0.05850395932793617,0.9443792700767517,0.9373286962509155
8,0.992896556854248,0.9663252830505371,0.935960054397583,0.03367483988404274,1e-04,0.9709007143974304,0.9646779298782349,0.990605354309082,0.9456806182861328,0.9010890126228333,0.054319366812705994,0.9313544631004333,0.9655184149742126
9,0.9922294616699219,0.961587131023407,0.9274252653121948,0.03841318190097809,1e-04,0.9688622355461121,0.9583451151847839,0.9875628352165222,0.9247111678123474,0.8636863827705383,0.07528886944055557,0.9291696548461914,0.9149332642555237
