,Image,Train Accuracy
0,M1_01_0_0,0.9583549499511719
1,M1_01_0_1,0.9583892822265625
2,M1_01_0_2,0.9583473205566406
3,M1_01_0_3,0.9583549499511719
4,M1_01_0_4,0.95733642578125
5,M1_01_0_5,0.947845458984375
6,M1_01_0_6,0.9583587646484375
7,M1_01_1_0,0.9511451721191406
8,M1_01_1_1,0.9432411193847656
9,M1_01_1_2,0.9447402954101562
10,M1_01_1_3,0.9512176513671875
11,M1_01_1_4,0.9445343017578125
12,M1_01_1_5,0.972900390625
13,M1_01_1_6,0.9672622680664062
14,M1_01_2_0,0.9843101501464844
15,M1_01_2_1,0.9843025207519531
16,M1_01_2_2,0.9843101501464844
17,M1_01_2_3,0.9842987060546875
18,M1_01_2_4,0.979461669921875
19,M1_01_2_5,0.9742431640625
20,M1_01_2_6,0.9689369201660156
21,M1_01_3_0,0.90631103515625
22,M1_01_3_1,0.9052581787109375
23,M1_01_3_2,0.9073333740234375
24,M1_01_3_3,0.9061088562011719
25,M1_01_3_4,0.9251937866210938
26,M1_01_3_5,0.9047584533691406
27,M1_01_3_6,0.9113349914550781
28,M1_02_0_0,0.9446258544921875
29,M1_02_0_1,0.944580078125
30,M1_02_0_2,0.9446220397949219
31,M1_02_0_3,0.944580078125
32,M1_02_0_4,0.9508781433105469
33,M1_02_0_5,0.9479827880859375
34,M1_02_0_6,0.9344253540039062
35,M1_02_1_0,0.93475341796875
36,M1_02_1_1,0.934661865234375
37,M1_02_1_2,0.93487548828125
38,M1_02_1_3,0.9347572326660156
39,M1_02_1_4,0.9254341125488281
40,M1_02_1_5,0.9200553894042969
41,M1_02_1_6,0.9281806945800781
42,M1_02_2_0,0.9399261474609375
43,M1_02_2_1,0.9387931823730469
44,M1_02_2_2,0.9397964477539062
45,M1_02_2_3,0.9399223327636719
46,M1_02_2_4,0.9387245178222656
47,M1_02_2_5,0.9629440307617188
48,M1_02_2_6,0.9569740295410156
49,M1_02_3_0,0.9943389892578125
50,M1_02_3_1,0.9883880615234375
51,M1_02_3_2,0.9979591369628906
52,M1_02_3_3,0.9948196411132812
53,M1_02_3_4,1.0
54,M1_02_3_5,0.9965858459472656
55,M1_02_3_6,1.0
56,M1_03_0_0,0.9491920471191406
57,M1_03_0_1,0.9449501037597656
58,M1_03_0_2,0.9503211975097656
59,M1_03_0_3,0.9492340087890625
60,M1_03_0_4,0.9431419372558594
61,M1_03_0_5,0.9403190612792969
62,M1_03_0_6,0.9450340270996094
63,M1_03_1_0,0.8993148803710938
64,M1_03_1_1,0.8997535705566406
65,M1_03_1_2,0.8880271911621094
66,M1_03_1_3,0.8975067138671875
67,M1_03_1_4,0.9132537841796875
68,M1_03_1_5,0.8796234130859375
69,M1_03_1_6,0.8838768005371094
70,M1_03_2_0,0.9415435791015625
71,M1_03_2_1,0.9412612915039062
72,M1_03_2_2,0.9414863586425781
73,M1_03_2_3,0.9416007995605469
74,M1_03_2_4,0.9355239868164062
75,M1_03_2_5,0.9372138977050781
76,M1_03_2_6,0.9257850646972656
77,M1_03_3_0,0.9438667297363281
78,M1_03_3_1,0.9432945251464844
79,M1_03_3_2,0.9415664672851562
80,M1_03_3_3,0.9438819885253906
81,M1_03_3_4,0.9426460266113281
82,M1_03_3_5,0.9388389587402344
83,M1_03_3_6,0.9399070739746094
84,M1_05_0_0,0.910888671875
85,M1_05_0_1,0.9108963012695312
86,M1_05_0_2,0.9111785888671875
87,M1_05_0_3,0.9108963012695312
88,M1_05_0_4,0.8887214660644531
89,M1_05_0_5,0.8951988220214844
90,M1_05_0_6,0.90484619140625
91,M1_05_1_0,0.9399833679199219
92,M1_05_1_1,0.9400215148925781
93,M1_05_1_2,0.9399185180664062
94,M1_05_1_3,0.9399871826171875
95,M1_05_1_4,0.9399147033691406
96,M1_05_1_5,0.9359703063964844
97,M1_05_1_6,0.9369277954101562
98,M1_05_2_0,0.9726371765136719
99,M1_05_2_1,0.972564697265625
100,M1_05_2_2,0.9702911376953125
101,M1_05_2_3,0.9726333618164062
102,M1_05_2_4,0.9684906005859375
103,M1_05_2_5,0.9745063781738281
104,M1_05_2_6,0.9810523986816406
105,M1_05_3_0,0.9701042175292969
106,M1_05_3_1,0.9700660705566406
107,M1_05_3_2,0.9700126647949219
108,M1_05_3_3,0.9700050354003906
109,M1_05_3_4,0.9740829467773438
110,M1_05_3_5,0.9542732238769531
111,M1_05_3_6,0.9705886840820312
112,M1_06_0_0,0.9278678894042969
113,M1_06_0_1,0.9278945922851562
114,M1_06_0_2,0.9278335571289062
115,M1_06_0_3,0.9278602600097656
116,M1_06_0_4,0.8971023559570312
117,M1_06_0_5,0.8936538696289062
118,M1_06_0_6,0.9208106994628906
119,M1_06_1_0,0.9057350158691406
120,M1_06_1_1,0.9055976867675781
121,M1_06_1_2,0.9056015014648438
122,M1_06_1_3,0.9057388305664062
123,M1_06_1_4,0.9031333923339844
124,M1_06_1_5,0.9036445617675781
125,M1_06_1_6,0.9051742553710938
126,M1_06_2_0,0.9022331237792969
127,M1_06_2_1,0.9021682739257812
128,M1_06_2_2,0.9023551940917969
129,M1_06_2_3,0.9016876220703125
130,M1_06_2_4,0.9011001586914062
131,M1_06_2_5,0.9016342163085938
132,M1_06_2_6,0.8998985290527344
133,M1_06_3_0,0.9495964050292969
134,M1_06_3_1,0.9495582580566406
135,M1_06_3_2,0.9487457275390625
136,M1_06_3_3,0.9493522644042969
137,M1_06_3_4,0.9484176635742188
138,M1_06_3_5,0.9614372253417969
139,M1_06_3_6,0.9322776794433594
140,M1_10_0_0,0.9192390441894531
141,M1_10_0_1,0.9191169738769531
142,M1_10_0_2,0.9191360473632812
143,M1_10_0_3,0.9192314147949219
144,M1_10_0_4,0.9284400939941406
145,M1_10_0_5,0.9096298217773438
146,M1_10_0_6,0.9291763305664062
147,M1_10_1_0,0.9788780212402344
148,M1_10_1_1,0.9431037902832031
149,M1_10_1_2,0.9424057006835938
150,M1_10_1_3,0.9812088012695312
151,M1_10_1_4,0.9426231384277344
152,M1_10_1_5,0.9551048278808594
153,M1_10_1_6,0.9734344482421875
154,M1_10_2_0,0.9120140075683594
155,M1_10_2_1,0.9114532470703125
156,M1_10_2_2,0.911865234375
157,M1_10_2_3,0.9119949340820312
158,M1_10_2_4,0.9259376525878906
159,M1_10_2_5,0.9112434387207031
160,M1_10_2_6,0.9252891540527344
161,M1_10_3_0,0.9962425231933594
162,M1_10_3_1,0.9962387084960938
163,M1_10_3_2,0.9962196350097656
164,M1_10_3_3,0.9962425231933594
165,M1_10_3_4,0.99444580078125
166,M1_10_3_5,0.992767333984375
167,M1_10_3_6,0.9961166381835938
168,M1_11_0_0,0.921600341796875
169,M1_11_0_1,0.9215087890625
170,M1_11_0_2,0.9215164184570312
171,M1_11_0_3,0.9214897155761719
172,M1_11_0_4,0.9214363098144531
173,M1_11_0_5,0.9210090637207031
174,M1_11_0_6,0.921478271484375
175,M1_11_1_0,0.9636726379394531
176,M1_11_1_1,0.9640121459960938
177,M1_11_1_2,0.9637260437011719
178,M1_11_1_3,0.9636116027832031
179,M1_11_1_4,0.9649887084960938
180,M1_11_1_5,0.9557952880859375
181,M1_11_1_6,0.9607810974121094
182,M1_11_2_0,0.9256134033203125
183,M1_11_2_1,0.9258346557617188
184,M1_11_2_2,0.925628662109375
185,M1_11_2_3,0.9254684448242188
186,M1_11_2_4,0.9266166687011719
187,M1_11_2_5,0.9244918823242188
188,M1_11_2_6,0.9265098571777344
189,M1_11_3_0,0.950653076171875
190,M1_11_3_1,0.9503211975097656
191,M1_11_3_2,0.9504737854003906
192,M1_11_3_3,0.9506645202636719
193,M1_11_3_4,0.9527435302734375
194,M1_11_3_5,0.9532699584960938
195,M1_11_3_6,0.9541168212890625
196,M1_12_0_0,0.9159698486328125
197,M1_12_0_1,0.9156837463378906
198,M1_12_0_2,0.9159088134765625
199,M1_12_0_3,0.9159202575683594
200,M1_12_0_4,0.9094772338867188
201,M1_12_0_5,0.9206390380859375
202,M1_12_0_6,0.9180259704589844
203,M1_12_1_0,0.892425537109375
204,M1_12_1_1,0.8928718566894531
205,M1_12_1_2,0.8918647766113281
206,M1_12_1_3,0.8924331665039062
207,M1_12_1_4,0.8908538818359375
208,M1_12_1_5,0.8886222839355469
209,M1_12_1_6,0.8925895690917969
210,M1_12_2_0,0.9739952087402344
211,M1_12_2_1,0.9742317199707031
212,M1_12_2_2,0.9721031188964844
213,M1_12_2_3,0.9742507934570312
214,M1_12_2_4,0.9724998474121094
215,M1_12_2_5,0.97467041015625
216,M1_12_2_6,0.974609375
217,M1_12_3_0,0.9710502624511719
218,M1_12_3_1,0.9710540771484375
219,M1_12_3_2,0.9708900451660156
220,M1_12_3_3,0.9710464477539062
221,M1_12_3_4,0.9709625244140625
222,M1_12_3_5,0.9710311889648438
223,M1_12_3_6,0.9709663391113281
224,M1_13_0_0,0.9525299072265625
225,M1_13_0_1,0.9627456665039062
226,M1_13_0_2,0.9637985229492188
227,M1_13_0_3,0.95379638671875
228,M1_13_0_4,0.9771461486816406
