,Image,Train Accuracy
0,M1_01_0_0,0.9584121704101562
1,M1_01_0_1,0.9580001831054688
2,M1_01_0_2,0.9583854675292969
3,M1_01_0_3,0.9584083557128906
4,M1_01_0_4,0.9436111450195312
5,M1_01_0_5,0.958465576171875
6,M1_01_0_6,0.9495582580566406
7,M1_01_1_0,0.9518928527832031
8,M1_01_1_1,0.9517593383789062
9,M1_01_1_2,0.9518928527832031
10,M1_01_1_3,0.9518928527832031
11,M1_01_1_4,0.9761772155761719
12,M1_01_1_5,0.9743156433105469
13,M1_01_1_6,0.9557838439941406
14,M1_01_2_0,0.9842414855957031
15,M1_01_2_1,0.9843025207519531
16,M1_01_2_2,0.9843101501464844
17,M1_01_2_3,0.9842376708984375
18,M1_01_2_4,0.9689674377441406
19,M1_01_2_5,0.9688491821289062
20,M1_01_2_6,0.9838829040527344
21,M1_01_3_0,0.9073867797851562
22,M1_01_3_1,0.9068031311035156
23,M1_01_3_2,0.9073143005371094
24,M1_01_3_3,0.9073715209960938
25,M1_01_3_4,0.9364738464355469
26,M1_01_3_5,0.9380874633789062
27,M1_01_3_6,0.90240478515625
28,M1_04_0_0,0.9401741027832031
29,M1_04_0_1,0.9400100708007812
30,M1_04_0_2,0.9400482177734375
31,M1_04_0_3,0.940216064453125
32,M1_04_0_4,0.9587287902832031
33,M1_04_0_5,0.9620933532714844
34,M1_04_0_6,0.9403915405273438
35,M1_04_1_0,0.9591178894042969
36,M1_04_1_1,0.9504280090332031
37,M1_04_1_2,0.95904541015625
38,M1_04_1_3,0.9591102600097656
39,M1_04_1_4,0.9645652770996094
40,M1_04_1_5,0.9853134155273438
41,M1_04_1_6,0.9858779907226562
42,M1_04_2_0,0.9274635314941406
43,M1_04_2_1,0.9271659851074219
44,M1_04_2_2,0.9273109436035156
45,M1_04_2_3,0.9274482727050781
46,M1_04_2_4,0.9261436462402344
47,M1_04_2_5,0.9145393371582031
48,M1_04_2_6,0.9243545532226562
49,M1_04_3_0,0.9495811462402344
50,M1_04_3_1,0.9495849609375
51,M1_04_3_2,0.9496269226074219
52,M1_04_3_3,0.9496002197265625
53,M1_04_3_4,0.9656600952148438
54,M1_04_3_5,0.9632148742675781
55,M1_04_3_6,0.9506416320800781
56,M1_05_0_0,0.9114761352539062
57,M1_05_0_1,0.9112319946289062
58,M1_05_0_2,0.9110527038574219
59,M1_05_0_3,0.9114418029785156
60,M1_05_0_4,0.9103240966796875
61,M1_05_0_5,0.8974800109863281
62,M1_05_0_6,0.911468505859375
63,M1_05_1_0,0.939971923828125
64,M1_05_1_1,0.9400291442871094
65,M1_05_1_2,0.93994140625
66,M1_05_1_3,0.939971923828125
67,M1_05_1_4,0.9425239562988281
68,M1_05_1_5,0.93597412109375
69,M1_05_1_6,0.9398841857910156
70,M1_05_2_0,0.9726791381835938
71,M1_05_2_1,0.9726104736328125
72,M1_05_2_2,0.9726600646972656
73,M1_05_2_3,0.9726791381835938
74,M1_05_2_4,0.9732589721679688
75,M1_05_2_5,0.9790306091308594
76,M1_05_2_6,0.9727058410644531
77,M1_05_3_0,0.9702033996582031
78,M1_05_3_1,0.9700660705566406
79,M1_05_3_2,0.9701423645019531
80,M1_05_3_3,0.9702033996582031
81,M1_05_3_4,0.9746170043945312
82,M1_05_3_5,0.9732551574707031
83,M1_05_3_6,0.9741172790527344
84,M1_06_0_0,0.92803955078125
85,M1_06_0_1,0.9275169372558594
86,M1_06_0_2,0.9279670715332031
87,M1_06_0_3,0.9280586242675781
88,M1_06_0_4,0.9238433837890625
89,M1_06_0_5,0.8874092102050781
90,M1_06_0_6,0.8990974426269531
91,M1_06_1_0,0.9055633544921875
92,M1_06_1_1,0.9054336547851562
93,M1_06_1_2,0.9055671691894531
94,M1_06_1_3,0.9055824279785156
95,M1_06_1_4,0.9021186828613281
96,M1_06_1_5,0.8929824829101562
97,M1_06_1_6,0.8922500610351562
98,M1_06_2_0,0.9024162292480469
99,M1_06_2_1,0.9022331237792969
100,M1_06_2_2,0.9023818969726562
101,M1_06_2_3,0.9024085998535156
102,M1_06_2_4,0.8894577026367188
103,M1_06_2_5,0.9022064208984375
104,M1_06_2_6,0.9023857116699219
105,M1_06_3_0,0.9527626037597656
106,M1_06_3_1,0.9528388977050781
107,M1_06_3_2,0.9523429870605469
108,M1_06_3_3,0.9527702331542969
109,M1_06_3_4,0.9377403259277344
110,M1_06_3_5,0.9527969360351562
111,M1_06_3_6,0.9345436096191406
112,M1_07_0_0,0.9704170227050781
113,M1_07_0_1,0.9703407287597656
114,M1_07_0_2,0.970428466796875
115,M1_07_0_3,0.9704208374023438
116,M1_07_0_4,0.970367431640625
117,M1_07_0_5,0.970367431640625
118,M1_07_0_6,0.9703483581542969
119,M1_07_1_0,0.9691925048828125
120,M1_07_1_1,0.9691734313964844
121,M1_07_1_2,0.9692192077636719
122,M1_07_1_3,0.9691925048828125
123,M1_07_1_4,0.9780960083007812
124,M1_07_1_5,0.9735221862792969
125,M1_07_1_6,0.9870071411132812
126,M1_07_2_0,0.8658599853515625
127,M1_07_2_1,0.864959716796875
128,M1_07_2_2,0.8652572631835938
129,M1_07_2_3,0.8657951354980469
130,M1_07_2_4,0.8649406433105469
