,Image,Train Accuracy
0,M1_01_0_0,0.958160400390625
1,M1_01_0_1,0.9583969116210938
2,M1_01_0_2,0.9583168029785156
3,M1_01_0_3,0.9582023620605469
4,M1_01_0_4,0.9564323425292969
5,M1_01_0_5,0.9481430053710938
6,M1_01_0_6,0.9475364685058594
7,M1_01_1_0,0.9519462585449219
8,M1_01_1_1,0.9483451843261719
9,M1_01_1_2,0.9518508911132812
10,M1_01_1_3,0.9519386291503906
11,M1_01_1_4,0.9526443481445312
12,M1_01_1_5,0.9737701416015625
13,M1_01_1_6,0.9493179321289062
14,M1_01_2_0,0.98431396484375
15,M1_01_2_1,0.9832649230957031
16,M1_01_2_2,0.9842681884765625
17,M1_01_2_3,0.98431396484375
18,M1_01_2_4,0.9689674377441406
19,M1_01_2_5,0.9799232482910156
20,M1_01_2_6,0.9689483642578125
21,M1_01_3_0,0.9074745178222656
22,M1_01_3_1,0.9070930480957031
23,M1_01_3_2,0.9070510864257812
24,M1_01_3_3,0.9075088500976562
25,M1_01_3_4,0.9070854187011719
26,M1_01_3_5,0.9362030029296875
27,M1_01_3_6,0.9154281616210938
28,M1_02_0_0,0.9445610046386719
29,M1_02_0_1,0.9445228576660156
30,M1_02_0_2,0.9446067810058594
31,M1_02_0_3,0.9445762634277344
32,M1_02_0_4,0.9363632202148438
33,M1_02_0_5,0.9341392517089844
34,M1_02_0_6,0.9464187622070312
35,M1_02_1_0,0.9347763061523438
36,M1_02_1_1,0.9348411560058594
37,M1_02_1_2,0.9347877502441406
38,M1_02_1_3,0.9347801208496094
39,M1_02_1_4,0.9219207763671875
40,M1_02_1_5,0.9217605590820312
41,M1_02_1_6,0.9333763122558594
42,M1_02_2_0,0.9403457641601562
43,M1_02_2_1,0.9399337768554688
44,M1_02_2_2,0.9396896362304688
45,M1_02_2_3,0.9403266906738281
46,M1_02_2_4,0.9391899108886719
47,M1_02_2_5,0.9454803466796875
48,M1_02_2_6,0.9589309692382812
49,M1_02_3_0,1.0
50,M1_02_3_1,1.0
51,M1_02_3_2,1.0
52,M1_02_3_3,1.0
53,M1_02_3_4,1.0
54,M1_02_3_5,1.0
55,M1_02_3_6,1.0
56,M1_03_0_0,0.9505538940429688
57,M1_03_0_1,0.9505157470703125
58,M1_03_0_2,0.9505081176757812
59,M1_03_0_3,0.9505729675292969
60,M1_03_0_4,0.9475288391113281
61,M1_03_0_5,0.9317588806152344
62,M1_03_0_6,0.955596923828125
63,M1_03_1_0,0.9014625549316406
64,M1_03_1_1,0.901123046875
65,M1_03_1_2,0.9014015197753906
66,M1_03_1_3,0.9014663696289062
67,M1_03_1_4,0.9022483825683594
68,M1_03_1_5,0.9152145385742188
69,M1_03_1_6,0.9004440307617188
70,M1_03_2_0,0.9416313171386719
71,M1_03_2_1,0.9412689208984375
72,M1_03_2_2,0.9415969848632812
73,M1_03_2_3,0.9416313171386719
74,M1_03_2_4,0.9405632019042969
75,M1_03_2_5,0.9302291870117188
76,M1_03_2_6,0.9391899108886719
77,M1_03_3_0,0.943756103515625
78,M1_03_3_1,0.9438629150390625
79,M1_03_3_2,0.9437446594238281
80,M1_03_3_3,0.943756103515625
81,M1_03_3_4,0.9376716613769531
82,M1_03_3_5,0.9436416625976562
83,M1_03_3_6,0.9138450622558594
84,M1_04_0_0,0.9402046203613281
85,M1_04_0_1,0.9402084350585938
86,M1_04_0_2,0.940185546875
87,M1_04_0_3,0.9402046203613281
88,M1_04_0_4,0.9462394714355469
89,M1_04_0_5,0.9566230773925781
90,M1_04_0_6,0.9597702026367188
91,M1_04_1_0,0.9591407775878906
92,M1_04_1_1,0.9506263732910156
93,M1_04_1_2,0.9560394287109375
94,M1_04_1_3,0.959136962890625
95,M1_04_1_4,0.988525390625
96,M1_04_1_5,0.9721946716308594
97,M1_04_1_6,0.98858642578125
98,M1_04_2_0,0.9274139404296875
99,M1_04_2_1,0.9274368286132812
100,M1_04_2_2,0.9272422790527344
101,M1_04_2_3,0.927398681640625
102,M1_04_2_4,0.9210586547851562
103,M1_04_2_5,0.9290580749511719
104,M1_04_2_6,0.901336669921875
105,M1_04_3_0,0.9497184753417969
106,M1_04_3_1,0.9410514831542969
107,M1_04_3_2,0.949615478515625
108,M1_04_3_3,0.9497489929199219
109,M1_04_3_4,0.9528236389160156
110,M1_04_3_5,0.9514007568359375
111,M1_04_3_6,0.9463539123535156
112,M1_05_0_0,0.9115371704101562
113,M1_05_0_1,0.9116172790527344
114,M1_05_0_2,0.9115829467773438
115,M1_05_0_3,0.9115447998046875
116,M1_05_0_4,0.8902587890625
117,M1_05_0_5,0.8983840942382812
118,M1_05_0_6,0.9115180969238281
119,M1_05_1_0,0.9399986267089844
120,M1_05_1_1,0.9399871826171875
121,M1_05_1_2,0.9400215148925781
122,M1_05_1_3,0.9400138854980469
123,M1_05_1_4,0.9398193359375
124,M1_05_1_5,0.9413185119628906
125,M1_05_1_6,0.9399566650390625
126,M1_05_2_0,0.9726448059082031
127,M1_05_2_1,0.9726638793945312
128,M1_05_2_2,0.972625732421875
129,M1_05_2_3,0.9726524353027344
130,M1_05_2_4,0.983551025390625
131,M1_05_2_5,0.983551025390625
132,M1_05_2_6,0.9736328125
133,M1_05_3_0,0.9700355529785156
134,M1_05_3_1,0.9700813293457031
135,M1_05_3_2,0.9700584411621094
136,M1_05_3_3,0.970062255859375
137,M1_05_3_4,0.9748458862304688
138,M1_05_3_5,0.9736900329589844
139,M1_05_3_6,0.9713554382324219
140,M1_06_0_0,0.9282989501953125
141,M1_06_0_1,0.9281272888183594
142,M1_06_0_2,0.9277572631835938
143,M1_06_0_3,0.9282989501953125
144,M1_06_0_4,0.91357421875
145,M1_06_0_5,0.9264945983886719
146,M1_06_0_6,0.9255104064941406
147,M1_06_1_0,0.9056396484375
148,M1_06_1_1,0.9057464599609375
149,M1_06_1_2,0.9055747985839844
150,M1_06_1_3,0.9056472778320312
151,M1_06_1_4,0.8994178771972656
152,M1_06_1_5,0.9008140563964844
153,M1_06_1_6,0.8884620666503906
154,M1_06_2_0,0.9017410278320312
155,M1_06_2_1,0.9022026062011719
156,M1_06_2_2,0.9021987915039062
157,M1_06_2_3,0.9016265869140625
158,M1_06_2_4,0.8962249755859375
159,M1_06_2_5,0.9020118713378906
160,M1_06_2_6,0.9021377563476562
161,M1_06_3_0,0.9526863098144531
162,M1_06_3_1,0.9527397155761719
163,M1_06_3_2,0.9528236389160156
164,M1_06_3_3,0.9528121948242188
165,M1_06_3_4,0.9500350952148438
166,M1_06_3_5,0.9612045288085938
167,M1_06_3_6,0.961700439453125
168,M1_07_0_0,0.9704399108886719
169,M1_07_0_1,0.9704437255859375
170,M1_07_0_2,0.9704437255859375
171,M1_07_0_3,0.9704437255859375
172,M1_07_0_4,0.9703750610351562
173,M1_07_0_5,0.9704513549804688
174,M1_07_0_6,0.9704399108886719
175,M1_07_1_0,0.9692840576171875
176,M1_07_1_1,0.96923828125
177,M1_07_1_2,0.9693107604980469
178,M1_07_1_3,0.9692268371582031
179,M1_07_1_4,0.9600181579589844
180,M1_07_1_5,0.9604606628417969
181,M1_07_1_6,0.9946670532226562
182,M1_07_2_0,0.865966796875
183,M1_07_2_1,0.8658523559570312
184,M1_07_2_2,0.865570068359375
185,M1_07_2_3,0.8660011291503906
186,M1_07_2_4,0.826202392578125
187,M1_07_2_5,0.8647575378417969
188,M1_07_2_6,0.8605003356933594
189,M1_07_3_0,0.9522857666015625
190,M1_07_3_1,0.9522438049316406
191,M1_07_3_2,0.9520797729492188
192,M1_07_3_3,0.9523048400878906
193,M1_07_3_4,0.9702949523925781
194,M1_07_3_5,0.949676513671875
195,M1_07_3_6,0.9738655090332031
196,M1_08_0_0,0.9709205627441406
197,M1_08_0_1,0.9708671569824219
198,M1_08_0_2,0.9708099365234375
199,M1_08_0_3,0.9709548950195312
200,M1_08_0_4,0.9787063598632812
201,M1_08_0_5,0.9844474792480469
202,M1_08_0_6,0.983673095703125
203,M1_08_1_0,0.9912681579589844
204,M1_08_1_1,0.9913902282714844
205,M1_08_1_2,0.9913520812988281
206,M1_08_1_3,0.9912681579589844
207,M1_08_1_4,0.9996299743652344
208,M1_08_1_5,0.9960823059082031
209,M1_08_1_6,0.9998550415039062
210,M1_08_2_0,0.9385108947753906
211,M1_08_2_1,0.9384117126464844
212,M1_08_2_2,0.9383163452148438
213,M1_08_2_3,0.9384803771972656
214,M1_08_2_4,0.9383544921875
215,M1_08_2_5,0.9383049011230469
216,M1_08_2_6,0.9383811950683594
217,M1_08_3_0,0.9187507629394531
218,M1_08_3_1,0.9188003540039062
219,M1_08_3_2,0.918670654296875
220,M1_08_3_3,0.9188156127929688
221,M1_08_3_4,0.9241294860839844
222,M1_08_3_5,0.9105224609375
223,M1_08_3_6,0.9196357727050781
224,M1_09_0_0,0.9682159423828125
225,M1_09_0_1,0.9681816101074219
226,M1_09_0_2,0.9681739807128906
227,M1_09_0_3,0.9682350158691406
228,M1_09_0_4,0.9925041198730469
229,M1_09_0_5,0.9892921447753906
230,M1_09_0_6,0.9765548706054688
231,M1_09_1_0,0.9326362609863281
232,M1_09_1_1,0.9224815368652344
233,M1_09_1_2,0.9322853088378906
234,M1_09_1_3,0.9326629638671875
235,M1_09_1_4,0.9322471618652344
236,M1_09_1_5,0.93365478515625
237,M1_09_1_6,0.9557037353515625
238,M1_09_2_0,0.8761100769042969
239,M1_09_2_1,0.875762939453125
240,M1_09_2_2,0.8758430480957031
241,M1_09_2_3,0.8761329650878906
242,M1_09_2_4,0.9254608154296875
243,M1_09_2_5,0.8819961547851562
244,M1_09_2_6,0.8802452087402344
245,M1_09_3_0,0.9254302978515625
246,M1_09_3_1,0.9255294799804688
247,M1_09_3_2,0.9255180358886719
248,M1_09_3_3,0.9254646301269531
249,M1_09_3_4,0.9150428771972656
250,M1_09_3_5,0.9594879150390625
251,M1_09_3_6,0.9494094848632812
